date,product_id,product_name,category,brand,region,store_id,store_name,store_latitude,store_longitude,units_sold,unit_price,promo,discount_pct,revenue
2024-01-01,P1001,Crunchy Chips,Snacks,MegaCrunch,North,S001,MetroMart North,6.54321,3.32109,139,4.71,No,0,654.6899999999999
2024-01-01,P1001,Crunchy Chips,Snacks,MegaCrunch,South,S014,ValueCart South,6.32109,3.65432,118,2.66,Yes,20,313.88
2024-01-01,P1001,Crunchy Chips,Snacks,MegaCrunch,East,S007,FastLane East,6.87654,4.23456,155,1.39,No,0,215.45
2024-01-01,P1001,Crunchy Chips,Snacks,MegaCrunch,West,S008,DailyBasket West,6.34567,3.09876,189,4.95,No,0,935.5500000000001
2024-01-01,P1002,Sparkling Water,Beverages,AquaFresh,North,S005,UrbanGrocer North,6.65432,3.4321,130,1.65,No,0,214.5
2024-01-01,P1002,Sparkling Water,Beverages,AquaFresh,South,S002,CitySuper South,6.12345,3.87654,81,5.9,No,0,477.90000000000003
2024-01-01,P1002,Sparkling Water,Beverages,AquaFresh,East,S019,EastBay Market,6.98765,4.45678,149,4.66,No,0,694.34
2024-01-01,P1002,Sparkling Water,Beverages,AquaFresh,West,S016,MetroValue West,6.45678,3.12345,103,4.96,Yes,15,510.88
2024-01-01,P1003,Herbal Shampoo,Personal Care,NatureCare,North,S013,SuperSave North,6.56789,3.54321,63,5.4,Yes,20,340.20000000000005
2024-01-01,P1003,Herbal Shampoo,Personal Care,NatureCare,South,S002,CitySuper South,6.12345,3.87654,76,4.13,Yes,20,313.88
2024-01-01,P1003,Herbal Shampoo,Personal Care,NatureCare,East,S011,CityPantry East,6.76543,4.01234,174,4.21,No,0,732.54
2024-01-01,P1003,Herbal Shampoo,Personal Care,NatureCare,West,S016,MetroValue West,6.45678,3.12345,109,5.73,No,0,624.57
2024-01-01,P1004,Chocolate Bar,Snacks,SweetWave,North,S013,SuperSave North,6.56789,3.54321,164,5.65,Yes,15,926.6
2024-01-01,P1004,Chocolate Bar,Snacks,SweetWave,South,S014,ValueCart South,6.32109,3.65432,30,3.32,No,0,99.6
2024-01-01,P1004,Chocolate Bar,Snacks,SweetWave,East,S011,CityPantry East,6.76543,4.01234,46,4.37,No,0,201.02
2024-01-01,P1004,Chocolate Bar,Snacks,SweetWave,West,S016,MetroValue West,6.45678,3.12345,34,2.61,Yes,20,88.74
2024-01-01,P1005,Energy Drink,Beverages,PowerUp,North,S017,UrbanChoice North,6.78901,3.6789,136,3.92,No,0,533.12
2024-01-01,P1005,Energy Drink,Beverages,PowerUp,South,S002,CitySuper South,6.12345,3.87654,110,5.67,No,0,623.7
2024-01-01,P1005,Energy Drink,Beverages,PowerUp,East,S015,QuickPick East,6.65432,4.34567,41,5.94,No,0,243.54000000000002
2024-01-01,P1005,Energy Drink,Beverages,PowerUp,West,S012,FreshHub West,6.12345,2.87654,173,3.78,No,0,653.9399999999999
2024-01-01,P1006,Toilet Paper,Personal Care,SoftCare,North,S017,UrbanChoice North,6.78901,3.6789,38,1.04,No,0,39.52
2024-01-01,P1006,Toilet Paper,Personal Care,SoftCare,South,S002,CitySuper South,6.12345,3.87654,194,5.05,No,0,979.6999999999999
2024-01-01,P1006,Toilet Paper,Personal Care,SoftCare,East,S007,FastLane East,6.87654,4.23456,91,3.1,Yes,15,282.1
2024-01-01,P1006,Toilet Paper,Personal Care,SoftCare,West,S020,WestGate Store,6.01234,2.76543,127,2.22,Yes,10,281.94
2024-01-01,P1007,Pretzels,Snacks,SaltyTwist,North,S013,SuperSave North,6.56789,3.54321,76,4.96,Yes,10,376.96
2024-01-01,P1007,Pretzels,Snacks,SaltyTwist,South,S018,PrimePick South,6.45678,3.54321,141,5.31,No,0,748.7099999999999
2024-01-01,P1007,Pretzels,Snacks,SaltyTwist,East,S003,QuickBuy East,6.78901,4.12345,81,3.26,Yes,10,264.06
2024-01-01,P1007,Pretzels,Snacks,SaltyTwist,West,S016,MetroValue West,6.45678,3.12345,133,3.84,No,0,510.71999999999997
2024-01-01,P1008,Iced Tea,Beverages,TeaZen,North,S001,MetroMart North,6.54321,3.32109,183,2.82,No,0,516.06
2024-01-01,P1008,Iced Tea,Beverages,TeaZen,South,S002,CitySuper South,6.12345,3.87654,93,3.52,Yes,10,327.36
